"caption","id","data_type","termlist_id","term","created_on"
"Primary Land Management Present","230","L","836","Herbicide spraying","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","Land drainage","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","Mowing","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","Mowing (or other vegetation clearance, e.g. herbicide spraying, burning etc.)","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","No-management","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","Other","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","Pest management (e.g. insecticide spraying)","2016-12-23 22:19:00"
"Primary Land Management Present","230","L","836","Turf cutting","2016-12-23 22:19:00"
"2nd Land Management Present","231","L","836","Burning","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Coppicing","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Extraction (e.g. sod/peat cutting, aggregate extraction, topsoil stripping etc.)","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Farming","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Forestry","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Grazing","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Herbicide spraying","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Land drainage","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Mowing","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Mowing (or other vegetation clearance, e.g. herbicide spraying, burning etc.)","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","No-management","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Other","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Pest management (e.g. insecticide spraying)","2016-12-23 22:20:01"
"2nd Land Management Present","231","L","836","Turf cutting","2016-12-23 22:20:01"
"Notes on Land use and management","232","T","","","2016-12-23 22:21:02"
"Country","233","I","","","2016-12-23 22:23:37"
"CMS User ID","234","I","","","2016-12-23 22:24:46"
"Branch CMS User ID","235","I","","","2016-12-23 22:26:33"
"Linear habitat","236","L","835","Ditch","2017-01-20 11:25:22"
"Linear habitat","236","L","835","Field margin","2017-01-20 11:25:22"
"Linear habitat","236","L","835","Forest edge","2017-01-20 11:25:22"
"Linear habitat","236","L","835","Hedge","2017-01-20 11:25:22"
"Linear habitat","236","L","835","Not assigned","2017-01-20 11:25:22"
"Linear habitat","236","L","835","Not linear habitat","2017-01-20 11:25:22"
"Linear habitat","236","L","835","River/pond bank","2017-01-20 11:25:22"
"Linear habitat","236","L","835","Road/path","2017-01-20 11:25:22"
"EBMS Species Presence","338","I","","","2024-05-15 11:31:36"
