"caption","id","data_type","termlist_id","term","created_on"
"Temp (Deg C)","1660","L","999","31","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","32","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","33","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","34","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","35","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","36","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","37","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","38","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","39","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","4","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","40","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","40+","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","5","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","6","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","7","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","8","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","9","2022-06-06 11:26:06"
"Temp (Deg C)","1660","L","999","Not recorded/no data","2022-06-06 11:26:06"
"Any Bumblebees?","1921","B","","","2025-02-14 13:29:00"
"Any Dragonflies?","1922","B","","","2025-02-14 13:31:08"
